date_stamp,rhizome_number,Numbrer_of_internodes_in_rhizome,length_of_internode,SST,SSTA,irradiance,exposition_hours,date
737117,1,13,6,16.547574,0.82919756,129.884,0,26/02/2018
737117,1,13,9,16.547574,0.82919756,129.884,0,26/02/2018
737117,2,25,7,16.547574,0.82919756,129.884,0,26/02/2018
737117,2,25,9,16.547574,0.82919756,129.884,0,26/02/2018
737117,2,25,12,16.547574,0.82919756,129.884,0,26/02/2018
737117,8,11,16,16.547574,0.82919756,129.884,0,26/02/2018
737117,8,11,28,16.547574,0.82919756,129.884,0,26/02/2018
737117,8,11,19,16.547574,0.82919756,129.884,0,26/02/2018
737117,9,8,16,16.547574,0.82919756,129.884,0,26/02/2018
737117,9,8,9,16.547574,0.82919756,129.884,0,26/02/2018
737117,10,20,5,16.547574,0.82919756,129.884,0,26/02/2018
737117,10,20,7,16.547574,0.82919756,129.884,0,26/02/2018
737117,11,20,13,16.547574,0.82919756,129.884,0,26/02/2018
737117,11,20,18,16.547574,0.82919756,129.884,0,26/02/2018
737117,11,20,15,16.547574,0.82919756,129.884,0,26/02/2018
737117,13,13,8,16.547574,0.82919756,129.884,0,26/02/2018
737117,13,13,10,16.547574,0.82919756,129.884,0,26/02/2018
737117,13,13,12,16.547574,0.82919756,129.884,0,26/02/2018
737117,13,13,24,16.547574,0.82919756,129.884,0,26/02/2018
737117,16,14,6,16.547574,0.82919756,129.884,0,26/02/2018
737117,16,14,7,16.547574,0.82919756,129.884,0,26/02/2018
737117,16,14,5,16.547574,0.82919756,129.884,0,26/02/2018
737117,17,14,5,16.547574,0.82919756,129.884,0,26/02/2018
737117,17,14,3,16.547574,0.82919756,129.884,0,26/02/2018
737117,17,14,7,16.547574,0.82919756,129.884,0,26/02/2018
737117,18,24,9,16.547574,0.82919756,129.884,0,26/02/2018
737117,18,24,15,16.547574,0.82919756,129.884,0,26/02/2018
737117,18,24,20,16.547574,0.82919756,129.884,0,26/02/2018
737117,19,13,13,16.547574,0.82919756,129.884,0,26/02/2018
737117,19,13,17,16.547574,0.82919756,129.884,0,26/02/2018
737117,19,13,10,16.547574,0.82919756,129.884,0,26/02/2018
737117,20,11,8.5,16.547574,0.82919756,129.884,0,26/02/2018
737117,20,11,13,16.547574,0.82919756,129.884,0,26/02/2018
737117,20,11,12,16.547574,0.82919756,129.884,0,26/02/2018
737117,20,11,12,16.547574,0.82919756,129.884,0,26/02/2018
737117,20,11,8,16.547574,0.82919756,129.884,0,26/02/2018
737133,2,32,9,16.43277,0.7241192,141.834,3,14/03/2018
